[ 3058567734, 506984521 ]
[ 1542379890, 2360622732 ]
[ 11223257, 32520150 ]
[ 3560670587, 1836480272 ]
[ 663760828, 301032893 ]
[ 2006593625, 3789255566 ]
[ 1181033281, 1138738669 ]
[ 736299190, 242945529 ]
[ 1217129281, 2533278698 ]
[ 506331673, 4061154979 ]
[ 3577707916, 55870325 ]
[ 3817975397, 1341285550 ]
[ 3374333612, 1615898714 ]
[ 3363409095, 1467520436 ]
[ 1430514901, 2678564980 ]
[ 4074095182, 2121610830 ]
[ 399858430, 3450990347 ]
[ 4037608469, 1854636672 ]
[ 2428633613, 2997450604 ]
[ 1935550146, 1918275118 ]
[ 3423238649, 3200870729 ]
[ 3806323409, 3529328839 ]
[ 3563103337, 2711248888 ]
[ 342659722, 3807345158 ]
[ 3785546991, 1085149197 ]
[ 1705004528, 538446821 ]
[ 2316403715, 4133725557 ]
[ 2135110165, 182369772 ]
[ 372427949, 3191008999 ]
[ 2013538461, 1752824344 ]
[ 3312901158, 2305274027 ]
[ 3241987799, 2092456733 ]
[ 2356129456, 2163051729 ]
[ 1100328183, 1003306803 ]
[ 3310059138, 3090258681 ]
[ 3577298247, 394616977 ]
[ 3528551749, 4180462770 ]
[ 1785918452, 695757894 ]
[ 2435186016, 2595450109 ]
[ 2265119613, 760211993 ]
[ 4175254999, 4051327269 ]
[ 901117885, 1980113251 ]
[ 884028432, 2411940826 ]
[ 475175965, 3685429922 ]
[ 473609320, 2812136042 ]
[ 3728437240, 14765783 ]
[ 2462941261, 490775037 ]
[ 4133580321, 3970760882 ]
[ 350276093, 126234308 ]
[ 2166643772, 2852895747 ]
[ 598809232, 3201639940 ]
[ 3531409497, 2888519142 ]
[ 4129198259, 656564728 ]
[ 2590918086, 1152875719 ]
[ 3228341292, 897752634 ]
[ 3511156568, 862471324 ]
[ 3041422040, 4104571244 ]
[ 205178205, 1337757446 ]
[ 411412152, 829108142 ]
[ 2801105635, 2585201744 ]
[ 3628292925, 2535782914 ]
[ 4088551799, 2555817713 ]
[ 2311174996, 3521132705 ]
[ 1275052390, 1653651354 ]
[ 119931879, 477710841 ]
[ 1365564905, 2361145213 ]
[ 792674598, 1811455159 ]
[ 2689244054, 872048705 ]
[ 280647147, 3857758162 ]
[ 2163205505, 181488009 ]
[ 1514153711, 4247052808 ]
[ 2992155891, 848384648 ]
[ 2271845397, 4208249991 ]
[ 4182949103, 2346417953 ]
[ 672943374, 721156856 ]
[ 593693271, 2285231830 ]
[ 30393685, 4198936790 ]
[ 4191711185, 3330989430 ]
[ 1362609478, 1854555413 ]
[ 2689724555, 3940657872 ]
[ 1586826957, 855491075 ]
[ 2399852726, 3696022518 ]
[ 3404353372, 2184850788 ]
[ 1805211603, 2291632921 ]
[ 223982670, 294139540 ]
[ 2696113819, 1285182470 ]
[ 3803883425, 247248218 ]
[ 1266124137, 2578112748 ]
[ 2994284167, 887842323 ]
[ 1573349332, 3457101966 ]
[ 3575369255, 2650121554 ]
[ 1284183794, 306095258 ]
[ 4010259253, 3944087866 ]
[ 2799584743, 984617092 ]
[ 2827352940, 1493795036 ]
[ 2565164876, 2444543197 ]
[ 634644476, 1381465902 ]
[ 958234731, 4143895469 ]
[ 193638751, 456192855 ]
[ 2186619439, 1150496493 ]
[ 2144351269, 2813762151 ]
[ 1516646902, 2140237378 ]
[ 3860497186, 2172360254 ]
[ 3824161249, 1350644112 ]
[ 2682882251, 2431045883 ]
[ 2000867562, 2807579927 ]
[ 3845262482, 243911036 ]
[ 424389303, 865889370 ]
[ 978813631, 3943975763 ]
[ 965959051, 2714568083 ]
[ 1129815710, 36084356 ]
[ 3727147011, 800224499 ]
[ 3018494372, 155240289 ]
[ 1304206693, 2607189646 ]
[ 1361345461, 3909196677 ]
[ 3151926173, 215940341 ]
[ 4033449694, 69063478 ]
[ 1864356908, 1936611627 ]
[ 1475615413, 458795310 ]
[ 107870861, 2621552568 ]
[ 2365469334, 2269679741 ]
[ 508295121, 4142935344 ]
[ 2553864543, 2410769996 ]
[ 1003499907, 336170968 ]
[ 1444149238, 2679660550 ]
[ 3094588621, 775561756 ]
[ 3020712741, 1115841717 ]
[ 1805664913, 3001675831 ]
[ 2017055200, 2403324891 ]
[ 1059042826, 3895213116 ]
[ 417579359, 4010455126 ]
[ 1450105496, 3588139238 ]
[ 2933052373, 1477338852 ]
[ 1712007030, 1184036451 ]
[ 754636105, 882619020 ]
[ 819824717, 3121860509 ]
[ 1097235340, 665973952 ]
[ 3543129672, 3009469504 ]
[ 3917574672, 1282208492 ]
[ 211462046, 694312612 ]
[ 3523950107, 2262561727 ]
[ 2114816575, 3549948564 ]
[ 296892780, 639810964 ]
[ 2358819182, 1627910252 ]
[ 8181695, 3663268745 ]
[ 1585791195, 3807424719 ]
[ 1037538251, 2086850184 ]
[ 3426558988, 1891983522 ]
[ 2248199174, 2482933488 ]
[ 2210137152, 498247680 ]
[ 2809166351, 1151378230 ]
[ 2823863812, 599235935 ]
[ 2858762177, 3215728973 ]
[ 2233713461, 4236695703 ]
[ 2365335545, 3913039171 ]
[ 2144585440, 2892523713 ]
[ 1411972794, 4146703130 ]
[ 520915589, 3959043232 ]
[ 483835991, 3068826908 ]
[ 3206745999, 3373984299 ]
[ 750162007, 1803126168 ]
[ 2778974329, 1017085878 ]
[ 2893492163, 3660860188 ]
[ 599596003, 3254850432 ]
[ 2224812114, 4214661023 ]
[ 3218383009, 485344402 ]
[ 1674988489, 454597118 ]
[ 3206625332, 2171672344 ]
[ 4207238722, 752995330 ]
[ 2675073454, 3333912375 ]
[ 1224971056, 34460371 ]
[ 3810610515, 1012235842 ]
[ 2534962675, 26761671 ]
[ 4277714105, 836959959 ]
[ 108218504, 1444769054 ]
[ 524863477, 1469477048 ]
[ 2577351781, 3356510161 ]
[ 4065020114, 3891289856 ]
[ 3300798361, 1780361466 ]
[ 1575898422, 4011826758 ]
[ 3769469471, 3389271397 ]
[ 2884374895, 1932226894 ]
[ 283165359, 2623907754 ]
[ 457204319, 1605664706 ]
[ 613731517, 898763469 ]
[ 2354386647, 2728886437 ]
[ 2109405065, 301024342 ]
[ 1045470488, 2787329139 ]
[ 3147233343, 931470697 ]
[ 869736789, 2189719721 ]
[ 513040847, 597212206 ]
[ 3152928377, 1807101663 ]
[ 2628747041, 4096441493 ]
[ 798567153, 2181382419 ]
[ 3873500511, 1942189398 ]
[ 1593317133, 3098487976 ]
[ 2858540943, 1845695751 ]
[ 883735550, 3539673685 ]
[ 2890330699, 4198490017 ]
[ 3321787564, 2344821254 ]
[ 3577482922, 3443752606 ]
[ 26990281, 1446940752 ]
[ 3435143229, 4163229775 ]
[ 4244346313, 2457488878 ]
[ 1743424274, 2878087969 ]
[ 447330340, 1996025701 ]
[ 3472099173, 3581178688 ]
[ 2484236432, 1696075268 ]
[ 2394748260, 2352056577 ]
[ 975543851, 3636507386 ]
[ 3050248960, 249508601 ]
[ 1000014277, 624513037 ]
[ 3978793137, 1943630713 ]
[ 2508262035, 3314100937 ]
[ 3661037734, 4105558229 ]
[ 918301384, 3979447959 ]
[ 1561635535, 1909580691 ]
[ 769093492, 317743698 ]
[ 4205492541, 2243919583 ]
[ 3161746491, 1225426006 ]
[ 2005132963, 1004776428 ]
[ 1733364621, 85074458 ]
[ 1461257228, 1132692497 ]
[ 3621396308, 292690245 ]
[ 3154306870, 3887311593 ]
[ 2439194711, 3801931242 ]
[ 1095713984, 2273606229 ]
[ 426023653, 600722442 ]
[ 2436077812, 2605102570 ]
[ 3876772109, 722029490 ]
[ 4049727058, 3632877884 ]
[ 3433857136, 24188606 ]
[ 1420707246, 181015346 ]
[ 3054435189, 2844913022 ]
[ 3056602965, 922297966 ]
[ 2040250333, 2204851303 ]
[ 1767646165, 2450208731 ]
[ 393638317, 569386752 ]
[ 1393852568, 3119328978 ]
[ 1674273580, 629741183 ]
[ 2263529488, 1866076559 ]
[ 3608477419, 2086918812 ]
[ 2387056327, 919672592 ]
[ 1520938735, 2886607745 ]
[ 3005548414, 2741002536 ]
[ 2088890895, 2435846066 ]
[ 1272091900, 2109814988 ]
[ 2506877506, 2551720284 ]
[ 628618574, 993753672 ]
[ 3714447535, 2936228127 ]
[ 2181307869, 36946090 ]
[ 3389202855, 3439321301 ]
[ 762890919, 2209308837 ]
[ 4078103734, 1619385236 ]
[ 2815647478, 681766275 ]
[ 3317199579, 610450147 ]
[ 1854495177, 202035839 ]
[ 465050543, 3581120835 ]
[ 4237093922, 2028501274 ]
[ 1693055633, 1864498179 ]
[ 70011708, 3265914183 ]
[ 207590209, 3357637006 ]
[ 4225394662, 2094211611 ]
[ 4208226898, 4109427565 ]
[ 2060512500, 3296494234 ]
[ 1577844253, 2481865264 ]
[ 1450756097, 778971658 ]
[ 4023806350, 96202879 ]
[ 2681341801, 3556294956 ]
